Index,GSM2638145,GSM2638109,GSM2638111,GSM2638153,GSM2638144,GSM2638113,GSM2638140,GSM2638139,GSM2638138,GSM2638155,GSM2638141,GSM2638105,GSM2638154,GSM2638142,GSM2638104,GSM2638148,GSM2638149,GSM2638103,GSM2638156,GSM2638150
SEC24B,1171,299.0,419.0,1956,1249,502.0,1715,1547,804,1417,1309,492.0,1563,1153,436.0,1651,1419,358.0,1241,1353
N4BP3,339,122.0,85.0,418,315,123.0,397,320,200,344,319,130.0,306,332,98.0,363,314,79.0,198,284
RMND5B,1330,291.0,311.0,2211,1483,394.0,1714,1680,952,1705,1376,379.0,1737,1493,340.0,1786,1582,276.0,1373,1533
NHP2,808,163.0,152.0,1179,846,208.0,978,1020,516,1000,776,171.0,911,829,192.0,951,971,173.0,686,830
VPS9D1,1111,314.0,267.0,1604,1072,408.0,1263,1334,684,1446,1027,329.0,1388,1090,326.0,1264,1282,253.0,947,1132
ZFP276,314,91.0,82.0,511,372,110.0,493,490,225,455,351,101.0,530,400,97.0,475,462,70.0,308,422
C1QL4,0,0.0,0.0,0,0,0.0,5,0,0,0,0,0.0,0,0,0.0,0,1,0.0,0,0
MFSD10,325,110.0,93.0,351,276,106.0,378,386,219,427,273,89.0,338,313,96.0,305,432,76.0,265,269
LUZP1,3178,895.0,798.0,5208,3210,1403.0,4270,3443,1770,3272,3387,1309.0,4256,2669,1115.0,4592,3278,993.0,2760,3474
SLC13A2,0,0.0,0.0,0,0,0.0,0,0,0,0,0,0.0,1,0,0.0,0,0,0.0,0,0
KCTD10,639,161.0,158.0,992,668,201.0,736,851,488,856,563,174.0,859,658,180.0,815,767,176.0,704,744
POLDIP2,2601,669.0,561.0,4176,2760,845.0,3410,3301,1725,3065,2668,657.0,3502,2773,730.0,3472,2895,625.0,2742,2828
SEBOX,329,72.0,30.0,803,296,119.0,342,260,96,269,348,88.0,573,143,72.0,559,254,59.0,118,519
IFT20,1335,281.0,265.0,2059,1404,336.0,1709,1670,961,1561,1338,311.0,1741,1414,333.0,1786,1669,244.0,1398,1502
COL6A1,92,149.0,540.0,179,106,82.0,1270,1397,886,1019,83,20.0,129,1841,25.0,427,1384,143.0,1816,122
PCBP3,948,208.0,294.0,1523,917,285.0,1420,1403,799,1282,799,260.0,1124,1159,265.0,1326,1233,238.0,1100,983
LGALS9,158,26.0,44.0,266,202,61.0,159,201,109,169,199,44.0,226,276,46.0,214,269,38.0,145,179
ARAF,4075,655.0,796.0,7218,4546,860.0,6087,6173,3482,5570,4849,987.0,5630,4606,1009.0,6503,5211,847.0,6331,4592
CFP,132,48.0,64.0,209,139,53.0,195,197,83,178,122,50.0,241,170,48.0,171,206,22.0,155,144
TIMP1,3,1.0,3.0,7,2,4.0,6,7,4,4,3,2.0,5,5,1.0,4,12,2.0,5,10
